genre_ids,origin_country,original_language,popularity,vote_average,vote_count,year
"[18, 10759]",['CN'],zh,36.8811,8.08,44,2025.0
"[10765, 18, 10759]",['US'],en,35.4661,8.0,6258,2019.0
"[10764, 35]",['KR'],ko,31.6961,7.7,20,2005.0
[18],['US'],en,33.833,7.8,298,2023.0
"[10759, 16, 35, 10765, 10762, 10751]",['JP'],ja,36.4479,7.7,595,1979.0
"[35, 10759, 10762, 16, 10751]",['JP'],ja,33.0617,6.5,20,1993.0
"[80, 18]",['US'],en,37.2789,8.3,2980,2014.0
"[10765, 18]",['US'],en,32.5828,8.052,656,2022.0
"[18, 35]",['US'],en,36.1828,6.3,186,1977.0
"[16, 10765, 10759]",['JP'],ja,37.2244,8.4,4658,1989.0
"[16, 10759, 10765]",['JP'],ja,35.2438,8.365,5769,2002.0
[10764],['US'],en,37.6604,6.8,340,1993.0
"[10759, 18, 35]",['US'],en,35.1469,8.213,6702,2018.0
"[9648, 80, 18]",['US'],en,36.1274,7.6,405,1984.0
"[35, 10751]",['US'],en,31.6678,8.073,1220,1993.0
"[16, 10765, 35, 10762, 10751]","['CA', 'US']",en,31.7997,7.6,485,1991.0
"[35, 37]",['US'],en,34.2095,6.8,39,1957.0
"[18, 10765, 10759]",['US'],en,35.2943,7.5,3645,2013.0
"[16, 10759, 10765]",['JP'],ja,37.0936,7.926,2028,1997.0
"[16, 10759, 35, 10751, 10765]",['US'],en,32.2191,6.5,669,2013.0
"[10765, 18, 9648]",['US'],en,33.759,8.6,3467,2013.0
[18],['US'],en,35.5534,8.3,10140,2019.0
[35],['US'],en,34.8656,7.912,11953,2007.0
"[10765, 18, 10759]",['US'],en,33.7697,8.324,5479,2022.0
"[10767, 35, 10763]",['US'],en,35.9505,7.1,240,2010.0
"[18, 35]",['US'],en,31.877,6.7,10,1952.0
"[35, 10764]",['KR'],ko,33.9783,8.3,197,2010.0
"[10765, 10759, 18, 9648]",['US'],en,38.1282,8.4,1617,1987.0
"[10751, 18, 35]",['CA'],en,34.2586,8.3,565,2007.0
"[35, 80]",['US'],en,35.5793,8.219,3678,2013.0
"[18, 9648]",['US'],en,32.6265,8.3,2321,1990.0
"[80, 18, 9648]",['US'],en,32.3701,7.5,111,1976.0
"[10759, 18]",['US'],en,33.8477,8.223,2052,2024.0
"[10759, 16, 10765]",['JP'],ja,35.0194,8.4,1990,2004.0
"[35, 18]",['US'],en,37.1557,7.395,2085,1998.0
"[16, 18, 9648]",['JP'],ja,36.8285,8.691,430,2023.0
"[18, 10759, 9648]",['GB'],en,33.6432,8.182,755,2024.0
[18],['US'],en,34.1317,8.612,232,2025.0
"[80, 9648, 18]",['ES'],es,32.3789,8.022,9266,2018.0
"[16, 35, 10751]",['US'],en,36.0402,7.4,618,1997.0
"[18, 10759, 80]",['US'],en,34.5647,7.3,368,1995.0
"[80, 18, 9648]",['US'],en,34.1611,8.251,1457,2009.0
"[37, 10759, 18, 10751]",['US'],en,33.9909,7.5,451,1959.0
"[18, 9648]",['US'],en,31.2007,3.3,11,1954.0
"[35, 18, 9648, 80]",['US'],en,34.234,7.9,888,2006.0
"[35, 18, 10759, 80]",['GB'],en,40.4044,6.8,25,1979.0
"[16, 9648, 10759]",['JP'],ja,31.4257,8.25,28,2025.0
"[16, 9648, 10765]",['CN'],zh,32.2979,8.897,63,2025.0
[35],['AR'],es,30.8655,7.0,1,2025.0
[99],['US'],en,27.8431,7.853,17,2025.0
[10767],['US'],en,36.2621,6.5,67,2019.0
"[18, 9648]",['US'],en,30.7248,8.2,2210,2007.0
