popularity,vote_count,year,genre_cluster_0,genre_cluster_1,genre_cluster_2,genre_cluster_3,genre_cluster_4,genre_cluster_5,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,lang_macroarea_Africa,lang_macroarea_Eurasia,lang_macroarea_North America,lang_macroarea_Papunesia,lang_macroarea_South America,vote_average
3.9965,54,2019.0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.5
2.9523,199,2015.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,7.4
6.3381,254,2002.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.9
3.3563,14,2019.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.4
5.6853,27,2020.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.7
4.7268,17,1961.0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,6.5
7.308,44,1968.0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,6.7
3.1565,13,2014.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.7
3.913,26,2023.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,8.1
22.8469,116,1971.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.0
8.0955,2,1998.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.5
3.4664,6,1992.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.8
9.9001,9,1993.0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,6.7
3.7693,5,1991.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.2
3.1223,27,2023.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.5
3.2609,19,1994.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9.0
3.0943,173,2020.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,7.355
6.3176,147,2015.0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.8
4.7851,144,2017.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.9
3.8138,12,2021.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8.0
3.0265,114,2016.0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,7.0
4.1016,8,2010.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.6
7.5545,3,2015.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.0
8.4753,6,1998.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6.0
4.2885,46,2017.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.7
7.6792,76,2009.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,6.9
3.4076,2,2020.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9.5
8.429,1,2007.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7.0
3.4555,34,2019.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7.6
4.042,62,2025.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,6.7
3.3933,13,1987.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.5
4.7791,3,1969.0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,7.7
